ID,Name,Category,Count,Colors (HEX),Moods,Aesthetics
forest-gaze,Forest Gaze,Procedural Urban,3,"#e3f8d2ff, #75e229ff, #1f4309ff",procedural,urban
forest-ledger-trio,Forest Ledger Trio,Green & Professional,3,"#0b1f17ff, #123524ff, #1b5e3cff","green, professional","Finance, Nature"
forest-mist-2,Forest Mist 2,Procedural Sci-Fi,3,"#311a25ff, #a96195ff, #edddecff",procedural,sci-fi
forest-shadow,Forest Shadow,Procedural Cinematic,3,"#0b413bff, #2fdcd4ff, #d3f6f7ff",procedural,cinematic
forest-whisper,Forest Whisper,Nature & Elemental,3,"#2d6a4fff, #40916cff, #52b788ff","minimal, nature",Nature
fractal-chaos,Fractal Chaos,Abstract Logic,3,"#360b41ff, #d731daff, #f7d3f1ff",expressive,abstract
frozen-aura,Frozen Aura,Procedural Organic,3,"#d6ddf4ff, #4049cbff, #14103cff",procedural,organic
frozen-dream,Frozen Dream,Procedural Cinematic,3,"#2f3219ff, #ae9f5dff, #ede5ddff",procedural,cinematic
frozen-oasis-2,Frozen Oasis 2,Procedural Tech,3,"#250c3fff, #8034d6ff, #e3d4f6ff",procedural,tech
frozen-storm-2,Frozen Storm 2,Procedural Vintage,3,"#d3d9f7ff, #2e67ddff, #0a2441ff",procedural,vintage
frozen-whisper-2,Frozen Whisper 2,Procedural Cinematic,3,"#e3ddedff, #685eacff, #191d32ff",procedural,cinematic
fuchsia-circuit-trio,Fuchsia Circuit Trio,Pink & Technical,3,"#1a0712ff, #9d174dff, #ec4899ff","pink, technical","Circuit, Developer"
glacier-shard,Glacier Shard,Arctic Echoes,3,"#163535ff, #55a4b6ff, #dbe8efff",expressive,arctic
glitch-matrix,Glitch Matrix,Digital,3,"#000000ff, #34d399ff, #ec4899ff",digital,Digital
golden-aesthetic,Golden Aesthetic,Procedural Organic,3,"#0a422bff, #2cdf9aff, #d2f8eaff",procedural,organic
golden-aura,Golden Aura,Procedural Natural,3,"#024a46ff, #14f7e4ff, #cdfdf7ff",procedural,natural
golden-bloom,Golden Bloom,Procedural Cosmic,3,"#d6e7f4ff, #3d71ceff, #0f153dff",procedural,cosmic
golden-current-2,Golden Current 2,Procedural Atmospheric,3,"#054347ff, #1cb0efff, #cfe4fbff",procedural,atmospheric
golden-flame,Golden Flame,Procedural Vintage,3,"#024649ff, #15d2f6ff, #cdf0fdff",procedural,vintage
golden-rhythm-3,Golden Rhythm 3,Procedural Minimalist,3,"#02264aff, #1374f7ff, #cddefdff",procedural,minimalist
grape-nocturne-trio,Grape Nocturne Trio,Purple & Moody,3,"#14061fff, #2a0f3fff, #4a1d5fff","purple, moody","Nocturne, Grape"
holo-aesthetic,Holo Aesthetic,Procedural Vintage,3,"#f8dcd2ff, #de802dff, #422f0aff",procedural,vintage
holo-gaze-2,Holo Gaze 2,Procedural Organic,3,"#e6efdbff, #9fb655ff, #343516ff",procedural,organic
imperial-velvet-trio,Imperial Velvet Trio,Purple & Regal,3,"#0e061aff, #1f0b3dff, #37106bff","purple, regal","Luxury, Velvet"
industrial-storm-3,Industrial Storm 3,Procedural Tech,3,"#eae0e2ff, #9e6d75ff, #2e1e1fff",procedural,tech
ivory-ink,Ivory Ink,Minimalist Portfolio & Marketing,3,"#ffffffff, #000000ff, #f3f4f6ff","minimal, clean, sophisticated",Portfolio
ivory-storm,Ivory Storm,Procedural Minimalist,3,"#0e4b00ff, #42fc0fff, #d9feccff",procedural,minimalist
ivory-symphony-3,Ivory Symphony 3,Procedural Abstract,3,"#1c202fff, #6867a3ff, #e1dfebff",procedural,abstract
ivory-tide,Ivory Tide,Procedural Atmospheric,3,"#033a49ff, #178ff4ff, #cedbfcff",procedural,atmospheric
ivory-zenith,Ivory Zenith,Procedural Atmospheric,3,"#4c3a00ff, #fdac0eff, #fee8ccff",procedural,atmospheric
jazz-velvet,Jazz Velvet,Musical Rhythms,3,"#261339ff, #9b49c2ff, #eed8f2ff",expressive,musical
lemon-signal-trio,Lemon Signal Trio,Yellow & Interface,3,"#18140aff, #facc15ff, #fef08aff","yellow, bright","Signal, Interface"
light-aura-2,Light Aura 2,Procedural Minimalist,3,"#deececff, #63a89dff, #1b312bff",procedural,minimalist
light-edge,Light Edge,Procedural Abstract,3,"#3d0f19ff, #ce3d46ff, #f4d8d6ff",procedural,abstract
light-matrix,Light Matrix,Procedural Natural,3,"#1b312cff, #63a3a8ff, #dee7ecff",procedural,natural
light-spark-2,Light Spark 2,Procedural Vintage,3,"#2d3417ff, #99b357ff, #e8efdbff",procedural,vintage
lilac-frost-trio,Lilac Frost Trio,Purple & Airy,3,"#1e1b4bff, #312e81ff, #4f46e5ff","purple, airy","Lilac, Frost"
liquid-flame,Liquid Flame,Procedural Cinematic,3,"#2f3219ff, #9bad5eff, #e8edddff",procedural,cinematic
liquid-tide,Liquid Tide,Procedural Tech,3,"#1b312eff, #63a0a8ff, #dee8ecff",procedural,tech
liquid-vibe,Liquid Vibe,Procedural Industrial,3,"#111b3bff, #4374c8ff, #d7e5f3ff",procedural,industrial
lunar-new-year,Lunar New Year,Seasonal Festivals,3,"#480303ff, #f24018ff, #fcdfceff",expressive,seasonal
lunar-spark,Lunar Spark,Procedural Natural,3,"#e1dceeff, #785cafff, #221933ff",procedural,natural
magma-flow,Magma Flow,Earth's Core,3,"#481803ff, #f28118ff, #fcecceff",expressive,earth's
mango-mangrove,Mango Mangrove,Tropical Pulse,3,"#07440dff, #24e65bff, #d1f9e3ff",expressive,tropical
melancholy-blue,Melancholy Blue,Emotional,3,"#1e3a8aff, #3b82f6ff, #dbeafeff","sad, calm",Minimal
metric-matrix,Metric Matrix,Modern Data Dashboards,3,"#0f172aff, #3b82f6ff, #94a3b8ff","professional, clean",Data Visualization
mid-century-modern,Mid-Century Modern,Architectural & Interior,3,"#431407ff, #d97706ff, #064e3bff",architectural,Interior
midnight-current-5,Midnight Current 5,Procedural Atmospheric,3,"#49031cff, #f51668ff, #fccedfff",procedural,atmospheric
midnight-pulse,Midnight Pulse,Procedural Cinematic,3,"#46062fff, #eb20daff, #f2d0faff",procedural,cinematic
midnight-storm,Midnight Storm,Seasonal & Atmospheric,3,"#0f172aff, #1e293bff, #334155ff","dark, moody, atmospheric","Storm, Nature"
modern-minimalist,Modern Minimalist,Professional & SaaS,3,"#2d3436ff, #dfe6e9ff, #0984e3ff","minimal, professional",Professional
modern-vibe-2,Modern Vibe 2,Procedural Sci-Fi,3,"#402c0cff, #d8c833ff, #f0f6d4ff",procedural,sci-fi
modern-void-2,Modern Void 2,Procedural Industrial,3,"#d1f9f2ff, #26d9e5ff, #083144ff",procedural,industrial
modern-whisper,Modern Whisper,Procedural Minimalist,3,"#0f3c2eff, #3fccb6ff, #d6f4f4ff",procedural,minimalist
mount-olympus,Mount Olympus,Mythic Legends,3,"#41320bff, #dac931ff, #f4f7d3ff",expressive,mythic
muted-bloom,Muted Bloom,Procedural Abstract,3,"#ebdaf0ff, #b150bbff, #371535ff",procedural,abstract
muted-dawn,Muted Dawn,Procedural Minimalist,3,"#4c3300ff, #fde20dff, #f9feccff",procedural,minimalist
muted-shadow,Muted Shadow,Procedural Atmospheric,3,"#292f1dff, #8fa169ff, #e7ebdfff",procedural,atmospheric
muted-tide,Muted Tide,Procedural Urban,3,"#02493bff, #16f58bff, #cdfddaff",procedural,urban
mystic-edge,Mystic Edge,Procedural Vintage,3,"#3d1c0eff, #cf463cff, #f5d5daff",procedural,vintage
mystic-glow-3,Mystic Glow 3,Procedural Cinematic,3,"#044148ff, #19b8f2ff, #cee8fcff",procedural,cinematic
mystic-horizon-3,Mystic Horizon 3,Procedural Cosmic,3,"#081543ff, #286de2ff, #d1e6f9ff",procedural,cosmic
mystic-matrix,Mystic Matrix,Procedural Urban,3,"#fad1d0ff, #e82257ff, #450628ff",procedural,urban
mystic-void-3,Mystic Void 3,Procedural Industrial,3,"#12392eff, #47c49cff, #d8f2e9ff",procedural,industrial
nebula-orchid-trio,Nebula Orchid Trio,Purple & Cosmic,3,"#080012ff, #18002fff, #2f075eff","purple, cosmic","Nebula, Orchid"
neon-geometry,Neon Geometry,Procedural Vintage,3,"#0c2540ff, #3478d7ff, #d4e0f6ff",procedural,vintage
neon-mist,Neon Mist,Procedural Minimalist,3,"#3e0b40ff, #d432d9ff, #f6d3f7ff",procedural,minimalist
nordic-signal,Nordic Signal,Cool & Minimal,3,"#0b132bff, #5bc0beff, #f8f9faff","cool, minimal","Nordic, SaaS"
oasis-mirage,Oasis Mirage,Desert Secrets,3,"#3d2d0fff, #ceb73dff, #f4f4d6ff",expressive,desert
obsidian-circuit-trio,Obsidian Circuit Trio,Black & Technical,3,"#030304ff, #0a0a0fff, #12121aff","black, technical","Circuit, Developer"
obsidian-core-2,Obsidian Core 2,Procedural Tech,3,"#3b1020ff, #c9418eff, #f3d7edff",procedural,tech
obsidian-mist,Obsidian Mist,Procedural Abstract,3,"#113a13ff, #46c645ff, #d9f3d7ff",procedural,abstract
obsidian-spark-3,Obsidian Spark 3,Procedural Abstract,3,"#30301bff, #a2a764ff, #eaecdeff",procedural,abstract
obsidian-wave,Obsidian Wave,Procedural Natural,3,"#f1fbcfff, #94ee1dff, #1d4705ff",procedural,natural
ocean-dawn,Ocean Dawn,Procedural Vintage,3,"#39123aff, #c446c3ff, #f2d8f1ff",procedural,vintage
ocean-depth,Ocean Depth,Aquatic & Polar,3,"#03045eff, #0077b6ff, #00b4d8ff","cool, minimal, nature",Aquatic
ocean-geometry,Ocean Geometry,Procedural Natural,3,"#e9dbefff, #8758b3ff, #201734ff",procedural,natural
oil-&-gears,Oil & Gears,Mechanical Pulse,3,"#2a2222ff, #917e79ff, #e8e4e2ff",expressive,mechanical
orchid-slate,Orchid Slate,Elegant & Muted,3,"#3d314aff, #b565a7ff, #f3e8eeff","elegant, muted","Portfolio, Luxury"
pastel-dawn,Pastel Dawn,Procedural Cosmic,3,"#3d0e11ff, #cf3c53ff, #f5d5deff",procedural,cosmic
pastel-flame-2,Pastel Flame 2,Procedural Tech,3,"#381420ff, #be4d7fff, #f1d9e6ff",procedural,tech
pastel-zenith-3,Pastel Zenith 3,Procedural Abstract,3,"#16123aff, #4655c5ff, #d8e1f2ff",procedural,abstract
pearl-signal-trio,Pearl Signal Trio,White & Interface,3,"#1f2937ff, #f3f4f6ff, #ffffffff","white, bright","Signal, Interface"
pine-ember,Pine Ember,Natural & Warm,3,"#1b4332ff, #d95d39ff, #f7ede2ff","natural, warm","Cabin, Editorial"
polished-marble,Polished Marble,Natural,3,"#ffffffff, #f3f4f6ff, #d1d5dbff",natural,Natural
porcelain-circuit-trio,Porcelain Circuit Trio,White & Technical,3,"#111827ff, #e5e7ebff, #ffffffff","white, technical","Circuit, Developer"
quantum-abyss,Quantum Abyss,Procedural Minimalist,3,"#192733ff, #5c7cafff, #dce0eeff",procedural,minimalist
quantum-physics,Quantum Physics,Scientific Theory,3,"#073244ff, #2489e6ff, #d1def9ff",expressive,scientific
quantum-pulse-3,Quantum Pulse 3,Procedural Atmospheric,3,"#cdfdceff, #51f714ff, #294a02ff",procedural,atmospheric
radiant-canvas-2,Radiant Canvas 2,Procedural Vintage,3,"#480441ff, #f01ab8ff, #fccee8ff",procedural,vintage
radiant-geometry-3,Radiant Geometry 3,Procedural Abstract,3,"#efe0dbff, #b36d58ff, #341f17ff",procedural,abstract
radiant-symphony,Radiant Symphony,Procedural Cosmic,3,"#383c10ff, #b1cb3fff, #ecf4d6ff",procedural,cosmic
renaissance-gold,Renaissance Gold,Historical,3,"#451a03ff, #b45309ff, #fde68aff","elegant, rich",Classic
retro-revival,Retro Revival,Retro & Nostalgia,3,"#2e5283ff, #e2552dff, #e3bd33ff","minimal, retro",Retro
royal-iris,Royal Iris,Purple & Elegant,3,"#1b1035ff, #7c3aedff, #f5d0feff","purple, elegant","Iris, Luxury"
ruby-ledger-trio,Ruby Ledger Trio,Red & Professional,3,"#1f0a0cff, #3b0d11ff, #7f1d1dff","red, professional","Finance, Reports"
sahara-dust,Sahara Dust,Global Landscapes,3,"#78350fff, #92400eff, #fde68aff","nature, landscape",Global Landscapes
sakura-drift,Sakura Drift,Floral Fantasy,3,"#3d0f38ff, #ce3da5ff, #f4d6e6ff",expressive,floral
sapphire-edge-2,Sapphire Edge 2,Procedural Abstract,3,"#f8f8d2ff, #e0c52bff, #423009ff",procedural,abstract
sapphire-edge-3,Sapphire Edge 3,Procedural Sci-Fi,3,"#f6d4dcff, #d53637ff, #3f180dff",procedural,sci-fi
sapphire-ledger-trio,Sapphire Ledger Trio,Blue & Professional,3,"#0a2540ff, #12355bff, #1d4e89ff","blue, professional","Finance, SaaS"
sherlock-smoke,Sherlock Smoke,Literary Journeys,3,"#31281aff, #aa9a61ff, #edecddff",expressive,literary
slate-gray,Slate Gray,Professional & SaaS,3,"#212529ff, #343a40ff, #495057ff","cool, dark, minimal, professional",Professional
solar-canvas,Solar Canvas,Procedural Tech,3,"#044827ff, #19f286ff, #cefce4ff",procedural,tech
solar-circuit-trio,Solar Circuit Trio,Yellow & Technical,3,"#171104ff, #a16207ff, #eab308ff","yellow, technical","Circuit, Developer"
stadium-lights,Stadium Lights,Athletic Edge,3,"#461905ff, #ec811eff, #fbeccfff",expressive,athletic
stellar-breeze,Stellar Breeze,Procedural Sci-Fi,3,"#e8deecff, #9362a8ff, #291b31ff",procedural,sci-fi
stellar-matrix,Stellar Matrix,Procedural Tech,3,"#1a4903ff, #59f417ff, #dafcceff",procedural,tech
stellar-shadow,Stellar Shadow,Procedural Natural,3,"#fad0f9ff, #bf1febff, #270646ff",procedural,natural
stellar-shadow-2,Stellar Shadow 2,Procedural Cosmic,3,"#fccee7ff, #f11a59ff, #480407ff",procedural,cosmic
stellar-symphony-2,Stellar Symphony 2,Procedural Minimalist,3,"#15372fff, #4fbabcff, #daeaf0ff",procedural,minimalist
sunset-glow,Sunset Glow,Vibrant & Pop,3,"#ff4d6dff, #ff758fff, #ff8fa3ff","minimal, warm",Vibrant
supernova-glow,Supernova Glow,Cosmos,3,"#4c0519ff, #e11d48ff, #fda4afff","cosmos, professional",Modern
synth-dust,Synth Dust,Procedural Minimalist,3,"#321239ff, #8d47c4ff, #e0d8f2ff",procedural,minimalist
synth-horizon-2,Synth Horizon 2,Procedural Sci-Fi,3,"#3a1222ff, #c54685ff, #f2d8e8ff",procedural,sci-fi
synth-pulse,Synth Pulse,Procedural Abstract,3,"#460614ff, #eb2080ff, #fad0efff",procedural,abstract
tangerine-signal-trio,Tangerine Signal Trio,Orange & Interface,3,"#231006ff, #ea580cff, #fb923cff","orange, bright","Signal, Interface"
technicolor-dream,Technicolor Dream,Cinematic,3,"#e11d48ff, #2563ebff, #fbbf24ff","vibrant, bold",Classic Cinema
tokyo-neon,Tokyo Neon,Urban,3,"#000000ff, #ec4899ff, #0ea5e9ff","vibrant, electric",City Lights
twilight-aesthetic-3,Twilight Aesthetic 3,Procedural Sci-Fi,3,"#08440fff, #26e458ff, #d1f9e1ff",procedural,sci-fi
twilight-dream-2,Twilight Dream 2,Procedural Natural,3,"#f6d4f1ff, #cd33d8ff, #310c40ff",procedural,natural
twilight-rhythm-3,Twilight Rhythm 3,Procedural Cosmic,3,"#091642ff, #2b53e0ff, #d2daf8ff",procedural,cosmic
twilight-shadow,Twilight Shadow,Procedural Sci-Fi,3,"#1a4b01ff, #5dfa11ff, #dcfeccff",procedural,sci-fi
urban-breeze-2,Urban Breeze 2,Procedural Urban,3,"#0d103eff, #3849d3ff, #d5daf5ff",procedural,urban
urban-horizon-2,Urban Horizon 2,Procedural Cosmic,3,"#324605ff, #e0ed1eff, #fbf2cfff",procedural,cosmic
urban-realm,Urban Realm,Procedural Industrial,3,"#f8d2ddff, #de2d8fff, #420a39ff",procedural,industrial
urban-spectrum,Urban Spectrum,Procedural Vintage,3,"#dbdaf0ff, #5357b8ff, #161936ff",procedural,vintage
urban-state,Urban State,Procedural Minimalist,3,"#363216ff, #b79553ff, #f0e3daff",procedural,minimalist
velvet-current,Velvet Current,Procedural Sci-Fi,3,"#02014bff, #1143faff, #cce2feff",procedural,sci-fi
velvet-dust,Velvet Dust,Procedural Abstract,3,"#361620ff, #b8528bff, #f0daebff",procedural,abstract
velvet-glow,Velvet Glow,Procedural Atmospheric,3,"#dde6edff, #6182aaff, #1a2231ff",procedural,atmospheric
velvet-wave,Velvet Wave,Procedural Urban,3,"#20301bff, #64a763ff, #deece1ff",procedural,urban
vibrant-current,Vibrant Current,Procedural Tech,3,"#e8deecff, #9e64a7ff, #301b2fff",procedural,tech
vibrant-dusk,Vibrant Dusk,Procedural Natural,3,"#123a14ff, #64c546ff, #e6f2d8ff",procedural,natural
vibrant-geometry,Vibrant Geometry,Procedural Cinematic,3,"#cffbe4ff, #1fec76ff, #05461eff",procedural,cinematic
vibrant-logic,Vibrant Logic,Procedural Organic,3,"#0a0744ff, #2443e7ff, #d1dff9ff",procedural,organic
vibrant-logic-2,Vibrant Logic 2,Procedural Natural,3,"#42093eff, #df2cb3ff, #f8d2e8ff",procedural,natural
vibrant-zenith,Vibrant Zenith,Procedural Tech,3,"#d6f4e6ff, #3eccafff, #0f393cff",procedural,tech
vintage-dust,Vintage Dust,Procedural Urban,3,"#0a1941ff, #302eddff, #ddd3f7ff",procedural,urban
vintage-glow-4,Vintage Glow 4,Procedural Cosmic,3,"#01414bff, #10c1fbff, #ccecfeff",procedural,cosmic
vintage-shadow,Vintage Shadow,Procedural Cinematic,3,"#d5f5d7ff, #58d239ff, #243e0eff",procedural,cinematic
vintage-spectrum,Vintage Spectrum,Procedural Atmospheric,3,"#393312ff, #c4a747ff, #f2ead8ff",procedural,atmospheric
vintage-wave,Vintage Wave,Procedural Tech,3,"#450e07ff, #e8233dff, #fad0e0ff",procedural,tech
alloy-bloom,Alloy Bloom,Industrial & Bright,4,"#1f2937ff, #3b82f6ff, #ec4899ff, #f3f4f6ff","industrial, bright","Metal, UI"
amazon-canopy,Amazon Canopy,Global Landscapes,4,"#064e3bff, #059669ff, #10b981ff, #34d399ff","nature, landscape",Global Landscapes
amber-forge-quartet,Amber Forge Quartet,Orange & Industrial,4,"#1c0f05ff, #431407ff, #9a3412ff, #f97316ff","orange, industrial","Forge, Manufacturing"
amethyst-haze,Amethyst Haze,Purple & Soft,4,"#160f29ff, #5b21b6ff, #a78bfaff, #f3e8ffff","purple, soft","Amethyst, Glass UI"
bedouin-silk,Bedouin Silk,Desert Secrets,4,"#3d2d0fff, #a38f28ff, #d9db70ff, #eef4d6ff",expressive,desert
berry-blast,Berry Blast,Vibrant & Pop,4,"#7209b7ff, #b5179eff, #f72585ff, #ff4d6dff","minimal, warm",Vibrant
bio-luminescence,Bio-Luminescence,Digital,4,"#064e3bff, #10b981ff, #6ee7b7ff, #d1fae5ff",digital,Digital
